locationA,locationB,avg_purchase_to_delivery_days,avg_carrier_to_delivery_days,on_time_delivery,late_delivery,on_time_carrier,late_carrier,punctuality_ratio,total_successful_deliveries
Ang Thong,Phra Nakhon Si Ayutthaya,11.75,4.5,4,0,4,0,1.0,4
Ang Thong,Phrae,12.272727272727273,7.2727272727272725,11,0,11,0,1.0,11
Ang Thong,Phuket,14.0,11.333333333333334,3,0,3,0,1.0,3
Ang Thong,Prachin Buri,12.91304347826087,8.717391304347826,43,3,39,7,0.9347826086956522,46
Ang Thong,Prachuap Khiri Khan,12.846153846153847,9.615384615384615,11,2,11,2,0.8461538461538461,13
Ang Thong,Ranong,9.076923076923077,5.153846153846154,13,0,11,2,1.0,13
Ang Thong,Ratchaburi,10.555555555555555,7.555555555555555,17,1,17,1,0.9444444444444444,18
Ang Thong,Rayong,14.75,11.85,19,1,17,3,0.95,20
Ang Thong,Roi Et,11.365853658536585,7.951219512195122,114,9,111,12,0.926829268292683,123
Ang Thong,Sa Kaeo,10.742857142857142,7.428571428571429,34,1,29,6,0.9714285714285714,35
Ang Thong,Sakon Nakhon,11.670731707317072,7.475609756097561,80,2,74,8,0.975609756097561,82
Ang Thong,Samut Prakan,12.176470588235293,7.705882352941177,17,0,13,4,1.0,17
Ang Thong,Samut Sakhon,5.666666666666667,2.8333333333333335,6,0,6,0,1.0,6
Ang Thong,Samut Songkhram,12.846153846153847,8.153846153846153,12,1,9,4,0.9230769230769231,13
Ang Thong,Saraburi,14.277777777777779,11.61111111111111,16,2,18,0,0.8888888888888888,18
Ang Thong,Satun,13.625,6.875,8,0,5,3,1.0,8
Ang Thong,Si Sa Ket,11.75,8.294642857142858,101,11,98,14,0.9017857142857143,112
Ang Thong,Sing Buri,16.666666666666668,9.5,5,1,5,1,0.8333333333333334,6
Ang Thong,Songkhla,10.6,6.7,20,0,17,3,1.0,20
Ang Thong,Sukhothai,9.0,6.0,4,0,3,1,1.0,4
Ang Thong,Suphan Buri,12.0,10.666666666666666,2,1,3,0,0.6666666666666666,3
Ang Thong,Surat Thani,18.857142857142858,10.428571428571429,6,1,6,1,0.8571428571428571,7
Ang Thong,Surin,10.986301369863014,8.219178082191782,67,6,67,6,0.9178082191780822,73
Ang Thong,Tak,13.454545454545455,8.636363636363637,11,0,10,1,1.0,11
Ang Thong,Trang,3.0,2.0,1,0,1,0,1.0,1
Ang Thong,Trat,12.518518518518519,8.814814814814815,24,3,23,4,0.8888888888888888,27
Ang Thong,Ubon Ratchathani,10.811111111111112,8.333333333333334,88,2,86,4,0.9777777777777777,90
Ang Thong,Udon Thani,13.714285714285714,10.0,13,1,12,2,0.9285714285714286,14
Ang Thong,Uthai Thani,23.916666666666668,15.416666666666666,9,3,10,2,0.75,12
Ang Thong,Uttaradit,12.636363636363637,9.818181818181818,10,1,10,1,0.9090909090909091,11
Ang Thong,Yasothon,10.833333333333334,7.722222222222222,32,4,34,2,0.8888888888888888,36
Bangkok,Bangkok,13.619047619047619,10.238095238095237,20,1,20,1,0.9523809523809523,21
Bangkok,Bueng Kan,11.5,8.720930232558139,79,7,82,4,0.9186046511627907,86
Bangkok,Buri Ram,13.07514450867052,9.323699421965317,157,16,153,20,0.9075144508670521,173
Bangkok,Chachoengsao,12.55497382198953,9.073298429319372,173,18,166,25,0.9057591623036649,191
Bangkok,Chai Nat,8.916666666666666,7.333333333333333,24,0,24,0,1.0,24
Bangkok,Chaiyaphum,10.900990099009901,7.9504950495049505,96,5,98,3,0.9504950495049505,101
Bangkok,Chanthaburi,15.478260869565217,12.0,41,5,40,6,0.8913043478260869,46
Bangkok,Chiang Mai,12.147058823529411,8.397058823529411,124,12,123,13,0.9117647058823529,136
Bangkok,Chon Buri,10.6375,7.5,73,7,73,7,0.9125,80
Bangkok,Chumphon,14.420289855072463,11.391304347826088,60,9,62,7,0.8695652173913043,69
Bangkok,Kalasin,13.416666666666666,10.036458333333334,179,13,174,18,0.9322916666666666,192
Bangkok,Kamphaeng Phet,13.925373134328359,10.611940298507463,59,8,60,7,0.8805970149253731,67
Bangkok,Kanchanaburi,12.65,9.35,18,2,19,1,0.9,20
Bangkok,Khon Kaen,12.942528735632184,9.655172413793103,82,5,79,8,0.9425287356321839,87
Bangkok,Krabi,16.085714285714285,13.0,31,4,31,4,0.8857142857142857,35
Bangkok,Lampang,11.23076923076923,8.430769230769231,55,10,60,5,0.8461538461538461,65
Bangkok,Lamphun,12.258620689655173,8.793103448275861,57,1,52,6,0.9827586206896551,58
Bangkok,Loei,7.3076923076923075,4.423076923076923,26,0,24,2,1.0,26
Bangkok,Lop Buri,13.42,10.36,46,4,47,3,0.92,50
Bangkok,Maha Sarakham,12.084158415841584,8.653465346534654,183,19,184,18,0.905940594059406,202
Bangkok,Mukdahan,11.025862068965518,7.758620689655173,110,6,102,14,0.9482758620689655,116
Bangkok,Nakhon Nayok,12.915492957746478,9.95774647887324,68,3,64,7,0.9577464788732394,71
