object_id,shape,admin0_name_en,admin0_name_th,admin0_pcode,admin1_name_en,admin1_name_th,admin1_pcode,admin2_name_en,admin2_name_th,admin2_pcode,admin3_name_en,admin3_name_th,admin3_pcode,shape_length,shape_area
495,Polygon,Thailand,ประเทศไทย,TH,Chaiyaphum,ชัยภูมิ,TH36,Kaset Sombun,เกษตรสมบูรณ์,TH3604,Ban Yang,บ้านยาง,TH360401,0.663054,0.004779
496,Polygon,Thailand,ประเทศไทย,TH,Phitsanulok,พิษณุโลก,TH65,Wat Bot,วัดโบสถ์,TH6507,Ban Yang,บ้านยาง,TH650704,0.748339,0.014189
497,Polygon,Thailand,ประเทศไทย,TH,Nakhon Pathom,นครปฐม,TH73,Mueang Nakhon Pathom,เมืองนครปฐม,TH7301,Ban Yang,บ้านยาง,TH730125,0.251394,0.00229
498,Polygon,Thailand,ประเทศไทย,TH,Surat Thani,สุราษฎร์ธานี,TH84,Khiri Rat Nikhom,คีรีรัฐนิคม,TH8408,Ban Yang,บ้านยาง,TH840802,0.29142,0.002348
499,Polygon,Thailand,ประเทศไทย,TH,Udon Thani,อุดรธานี,TH41,Nam Som,น้ำโสม,TH4118,Ban Yuak,บ้านหยวก,TH411806,0.539348,0.007886
500,Polygon,Thailand,ประเทศไทย,TH,Udon Thani,อุดรธานี,TH41,Sang Khom,สร้างคอม,TH4120,Ban Yuat,บ้านยวด,TH412003,0.310995,0.003319
501,Polygon,Thailand,ประเทศไทย,TH,Pattani,ปัตตานี,TH94,Mueang Pattani,เมืองปัตตานี,TH9401,Bana,บานา,TH940104,0.200663,0.001396
502,Polygon,Thailand,ประเทศไทย,TH,Surat Thani,สุราษฎร์ธานี,TH84,Mueang Surat Thani,เมืองสุราษฎร์ธาน,TH8401,Bang Bai Mai,บางใบไม้,TH840105,0.211885,0.001102
503,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bang Phlat,บางพลัด,TH1025,Bang Bamru,บางบำหรุ,TH102503,0.063917,0.0002
504,Polygon,Thailand,ประเทศไทย,TH,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Bang Ban,บางบาล,TH1405,Bang Ban,บางบาล,TH140501,0.120815,0.000512
505,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Bang Bo,บางบ่อ,TH1102,Bang Bo,บางบ่อ,TH110201,0.369802,0.004147
506,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bang Bon,บางบอน,TH1050,Bang Bon,บางบอน,TH105001,0.280742,0.002845
507,Polygon,Thailand,ประเทศไทย,TH,Prachin Buri,ปราจีนบุรี,TH25,Mueang Prachin Buri,เมืองปราจีนบุรี,TH2501,Bang Boribun,บางบริบูรณ์,TH250106,0.321321,0.001355
508,Polygon,Thailand,ประเทศไทย,TH,Nonthaburi,นนทบุรี,TH12,Bang Bua Thong,บางบัวทอง,TH1204,Bang Bua Thong,บางบัวทอง,TH120402,0.259029,0.002323
509,Polygon,Thailand,ประเทศไทย,TH,Rayong,ระยอง,TH21,Ban Khai,บ้านค่าย,TH2105,Bang But,บางบุตร,TH210505,0.683927,0.009736
510,Polygon,Thailand,ประเทศไทย,TH,Ang Thong,อ่างทอง,TH15,Wiset Chai Chan,วิเศษชัยชาญ,TH1506,Bang Chak,บางจัก,TH150607,0.256629,0.001435
511,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Phra Khanong,พระโขนง,TH1009,Bang Chak,บางจาก,TH100905,0.156672,0.001102
512,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Phasi Charoen,ภาษีเจริญ,TH1022,Bang Chak,บางจาก,TH102206,0.045903,0.000105
513,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Phra Pradaeng,พระประแดง,TH1104,Bang Chak,บางจาก,TH110403,0.094318,0.000441
514,Polygon,Thailand,ประเทศไทย,TH,Phetchaburi,เพชรบุรี,TH76,Mueang Phetchaburi,เมืองเพชรบุรี,TH7601,Bang Chak,บางจาก,TH760110,0.13383,0.000726
515,Polygon,Thailand,ประเทศไทย,TH,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Mueang Nakhon Si Thammarat,เมืองนครศรีธรรมร,TH8001,Bang Chak,บางจาก,TH800119,0.319752,0.003915
516,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Mueang Samut Songkhram,เมืองสมุทรสงคราม,TH7501,Bang Chakreng,บางจะเกร็ง,TH750111,0.119282,0.00053
517,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Bang Phli,บางพลี,TH1103,Bang Chalong,บางโฉลง,TH110304,0.290387,0.003166
518,Polygon,Thailand,ประเทศไทย,TH,Phetchaburi,เพชรบุรี,TH76,Mueang Phetchaburi,เมืองเพชรบุรี,TH7601,Bang Chan,บางจาน,TH760103,0.167326,0.001062
519,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Khlong Sam Wa,คลองสามวา,TH1046,Bang Chan,บางชัน,TH104603,0.211851,0.001683
520,Polygon,Thailand,ประเทศไทย,TH,Chanthaburi,จันทบุรี,TH22,Khlung,ขลุง,TH2202,Bang Chan,บางชัน,TH220205,0.60168,0.011198
521,Polygon,Thailand,ประเทศไทย,TH,Surat Thani,สุราษฎร์ธานี,TH84,Mueang Surat Thani,เมืองสุราษฎร์ธาน,TH8401,Bang Chana,บางชนะ,TH840106,0.327098,0.001507
522,Polygon,Thailand,ประเทศไทย,TH,Nakhon Pathom,นครปฐม,TH73,Sam Phran,สามพราน,TH7306,Bang Chang,บางช้าง,TH730607,0.240697,0.001607
523,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Amphawa,อัมพวา,TH7503,Bang Chang,บางช้าง,TH750306,0.117189,0.000463
524,Polygon,Thailand,ประเทศไทย,TH,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Bang Ban,บางบาล,TH1405,Bang Chani,บางชะนี,TH140515,0.12524,0.000528
525,Polygon,Thailand,ประเทศไทย,TH,Ang Thong,อ่างทอง,TH15,Pho Thong,โพธิ์ทอง,TH1504,Bang Chao Cha,บางเจ้าฉ่า,TH150414,0.219343,0.001091
526,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Taling Chan,ตลิ่งชัน,TH1019,Bang Chueak Nang,บางเชือกหนัง,TH101907,0.121286,0.00035
527,Polygon,Thailand,ประเทศไทย,TH,Prachin Buri,ปราจีนบุรี,TH25,Mueang Prachin Buri,เมืองปราจีนบุรี,TH2501,Bang Decha,บางเดชะ,TH250104,0.358068,0.004486
528,Polygon,Thailand,ประเทศไทย,TH,Trang,ตรัง,TH92,Huai Yot,ห้วยยอด,TH9206,Bang Di,บางดี,TH920605,0.567131,0.008072
529,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Phasi Charoen,ภาษีเจริญ,TH1022,Bang Duan,บางด้วน,TH102202,0.074893,0.000294
530,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Mueang Samut Prakan,เมืองสมุทรปราการ,TH1101,Bang Duan,บางด้วน,TH110113,0.085872,0.000344
531,Polygon,Thailand,ประเทศไทย,TH,Trang,ตรัง,TH92,Palian,ปะเหลียน,TH9204,Bang Duan,บางด้วน,TH920404,0.338138,0.002249
532,Polygon,Thailand,ประเทศไทย,TH,Pathum Thani,ปทุมธานี,TH13,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Bang Duea,บางเดื่อ,TH130109,0.2089,0.001033
533,Polygon,Thailand,ประเทศไทย,TH,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Bang Pahan,บางปะหัน,TH1407,Bang Duea,บางเดื่อ,TH140703,0.134498,0.000859
534,Polygon,Thailand,ประเทศไทย,TH,Surat Thani,สุราษฎร์ธานี,TH84,Phunphin,พุนพิน,TH8417,Bang Duean,บางเดือน,TH841705,0.345689,0.00203
535,Polygon,Thailand,ประเทศไทย,TH,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Bang Ban,บางบาล,TH1405,Bang Hak,บางหัก,TH140514,0.115168,0.000798
536,Polygon,Thailand,ประเทศไทย,TH,Chon Buri,ชลบุรี,TH20,Phan Thong,พานทอง,TH2005,Bang Hak,บางหัก,TH200511,0.157021,0.000651
537,Polygon,Thailand,ประเทศไทย,TH,Ranong,ระนอง,TH85,Kapoe,กะเปอร์,TH8503,Bang Hin,บางหิน,TH850305,0.64627,0.014343
538,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Phra Pradaeng,พระประแดง,TH1104,Bang Hua Suea,บางหัวเสือ,TH110406,0.075434,0.000248
539,Polygon,Thailand,ประเทศไทย,TH,Chanthaburi,จันทบุรี,TH22,Mueang Chanthaburi,เมืองจันทบุรี,TH2201,Bang Kacha,บางกะจะ,TH220108,0.271324,0.002757
540,Polygon,Thailand,ประเทศไทย,TH,Chanthaburi,จันทบุรี,TH22,Laem Sing,แหลมสิงห์,TH2206,Bang Kachai,บางกะไชย,TH220607,0.38107,0.002485
541,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Phra Pradaeng,พระประแดง,TH1104,Bang Kachao,บางกะเจ้า,TH110409,0.071496,0.000314
542,Polygon,Thailand,ประเทศไทย,TH,Pathum Thani,ปทุมธานี,TH13,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Bang Kadi,บางกะดี,TH130112,0.156105,0.000937
543,Polygon,Thailand,ประเทศไทย,TH,Samut Prakan,สมุทรปราการ,TH11,Bang Phli,บางพลี,TH1103,Bang Kaeo,บางแก้ว,TH110302,0.212889,0.002104
544,Polygon,Thailand,ประเทศไทย,TH,Ang Thong,อ่างทอง,TH15,Mueang Ang Thong,เมืองอ่างทอง,TH1501,Bang Kaeo,บางแก้ว,TH150102,0.068486,0.000129
545,Polygon,Thailand,ประเทศไทย,TH,Chachoengsao,ฉะเชิงเทรา,TH24,Mueang Chachoengsao,เมืองฉะเชิงเทรา,TH2401,Bang Kaeo,บางแก้ว,TH240108,0.337835,0.002698
546,Polygon,Thailand,ประเทศไทย,TH,Nakhon Sawan,นครสวรรค์,TH60,Banphot Phisai,บรรพตพิสัย,TH6005,Bang Kaeo,บางแก้ว,TH600506,0.395065,0.002992
547,Polygon,Thailand,ประเทศไทย,TH,Nakhon Pathom,นครปฐม,TH73,Nakhon Chai Si,นครชัยศรี,TH7303,Bang Kaeo,บางแก้ว,TH730305,0.184745,0.000683
548,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Mueang Samut Songkhram,เมืองสมุทรสงคราม,TH7501,Bang Kaeo,บางแก้ว,TH750105,0.281852,0.002775
549,Polygon,Thailand,ประเทศไทย,TH,Phetchaburi,เพชรบุรี,TH76,Ban Laem,บ้านแหลม,TH7607,Bang Kaeo,บางแก้ว,TH760704,0.228925,0.001645
550,Polygon,Thailand,ประเทศไทย,TH,Ranong,ระนอง,TH85,La-Un,ละอุ่น,TH8502,Bang Kaeo,บางแก้ว,TH850205,0.604101,0.010945
551,Polygon,Thailand,ประเทศไทย,TH,Nakhon Pathom,นครปฐม,TH73,Nakhon Chai Si,นครชัยศรี,TH7303,Bang Kaeo Fa,บางแก้วฟ้า,TH730321,0.194959,0.000886
552,Polygon,Thailand,ประเทศไทย,TH,Chachoengsao,ฉะเชิงเทรา,TH24,Mueang Chachoengsao,เมืองฉะเชิงเทรา,TH2401,Bang Kahai,บางกะไห,TH240114,0.234017,0.001601
553,Polygon,Thailand,ประเทศไทย,TH,Phetchaburi,เพชรบุรี,TH76,Cha-Am,ชะอำ,TH7604,Bang Kao,บางเก่า,TH760402,0.21862,0.002017
554,Polygon,Thailand,ประเทศไทย,TH,Pattani,ปัตตานี,TH94,Sai Buri,สายบุรี,TH9407,Bang Kao,บางเก่า,TH940704,0.152572,0.001084
555,Polygon,Thailand,ประเทศไทย,TH,Lop Buri,ลพบุรี,TH16,Ban Mi,บ้านหมี่,TH1606,Bang Kaphi,บางกะพี้,TH160610,0.219029,0.001603
556,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Huai Khwang,ห้วยขวาง,TH1017,Bang Kapi,บางกะปิ,TH101702,0.10858,0.000511
557,Polygon,Thailand,ประเทศไทย,TH,Chachoengsao,ฉะเชิงเทรา,TH24,Ratchasan,ราชสาส์น,TH2407,Bang Kha,บางคา,TH240701,0.401567,0.002914
558,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bang Khae,บางแค,TH1040,Bang Khae,บางแค,TH104001,0.102771,0.000583
559,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Amphawa,อัมพวา,TH7503,Bang Khae,บางแค,TH750309,0.131705,0.000348
560,Polygon,Thailand,ประเทศไทย,TH,Bangkok,กรุงเทพมหานคร,TH10,Bang Khae,บางแค,TH1040,Bang Khae Nuea,บางแคเหนือ,TH104002,0.152794,0.001085
561,Polygon,Thailand,ประเทศไทย,TH,Nakhon Pathom,นครปฐม,TH73,Mueang Nakhon Pathom,เมืองนครปฐม,TH7301,Bang Khaem,บางแขม,TH730102,0.322862,0.002405
562,Polygon,Thailand,ประเทศไทย,TH,Lop Buri,ลพบุรี,TH16,Ban Mi,บ้านหมี่,TH1606,Bang Kham,บางขาม,TH160613,0.258384,0.002026
563,Polygon,Thailand,ประเทศไทย,TH,Prachin Buri,ปราจีนบุรี,TH25,Ban Sang,บ้านสร้าง,TH2506,Bang Kham,บางขาม,TH250608,0.231616,0.002196
564,Polygon,Thailand,ประเทศไทย,TH,Saraburi,สระบุรี,TH19,Ban Mo,บ้านหมอ,TH1906,Bang Khamot,บางโขมด,TH190602,0.226009,0.002211
565,Polygon,Thailand,ประเทศไทย,TH,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Bang Khan,บางขัน,TH8017,Bang Khan,บางขัน,TH801701,0.625579,0.013327
566,Polygon,Thailand,ประเทศไทย,TH,Lop Buri,ลพบุรี,TH16,Mueang Lop Buri,เมืองลพบุรี,TH1601,Bang Khan Mak,บางขันหมาก,TH160117,0.2643,0.002521
567,Polygon,Thailand,ประเทศไทย,TH,Samut Songkhram,สมุทรสงคราม,TH75,Mueang Samut Songkhram,เมืองสมุทรสงคราม,TH7501,Bang Khan Taek,บางขันแตก,TH750102,0.17131,0.001083
568,Polygon,Thailand,ประเทศไทย,TH,Chachoengsao,ฉะเชิงเทรา,TH24,Bang Nam Priao,บางน้ำเปรี้ยว,TH2403,Bang Khanak,บางขนาก,TH240302,0.281948,0.002736
569,Polygon,Thailand,ประเทศไทย,TH,Nonthaburi,นนทบุรี,TH12,Bang Kruai,บางกรวย,TH1202,Bang Khanun,บางขนุน,TH120204,0.078808,0.000251
570,Polygon,Thailand,ประเทศไทย,TH,Pattani,ปัตตานี,TH94,Nong Chik,หนองจิก,TH9403,Bang Khao,บางเขา,TH940308,0.248834,0.003214
571,Polygon,Thailand,ประเทศไทย,TH,Pathum Thani,ปทุมธานี,TH13,Mueang Pathum Thani,เมืองปทุมธานี,TH1301,Bang Khayaeng,บางขะแยง,TH130106,0.119264,0.000503
572,Polygon,Thailand,ประเทศไทย,TH,Phetchaburi,เพชรบุรี,TH76,Khao Yoi,เขาย้อย,TH7602,Bang Khem,บางเค็ม,TH760203,0.128366,0.000907
573,Polygon,Thailand,ประเทศไทย,TH,Nonthaburi,นนทบุรี,TH12,Mueang Nonthaburi,เมืองนนทบุรี,TH1201,Bang Khen,บางเขน,TH120103,0.166825,0.000724
574,Polygon,Thailand,ประเทศไทย,TH,Nakhon Sawan,นครสวรรค์,TH60,Chum Saeng,ชุมแสง,TH6003,Bang Khian,บางเคียน,TH600306,0.586513,0.007238
575,Polygon,Thailand,ประเทศไทย,TH,Songkhla,สงขลา,TH90,Singhanakhon,สิงหนคร,TH9015,Bang Khiat,บางเขียด,TH901510,0.183565,0.001996
576,Polygon,Thailand,ประเทศไทย,TH,Chachoengsao,ฉะเชิงเทรา,TH24,Bang Khla,บางคล้า,TH2402,Bang Khla,บางคล้า,TH240201,0.113284,0.000474
577,Polygon,Thailand,ประเทศไทย,TH,Phichit,พิจิตร,TH66,Pho Thale,โพทะเล,TH6606,Bang Khlan,บางคลาน,TH660608,0.281169,0.0026
